ID|Monster Name|Type 1|Type 2|Type 3|Pri Element|Sec Element|Rareness|Cost|Mpoints|Artist|
158|Topalit |Evo Material |||Light ||2 Stars |1|1|Suzuki Kaori |
159|Amelit |Evo Material |||Dark ||2 Stars |1|1|Suzuki Kaori |
160|Mythlit |Evo Material |||Dark ||5 Stars |1|1|Suzuki Kaori |
161|Red Evolution Mask |Evo Material |||Fire ||1 Star |1|1|Shinnosuke Hino |
162|Blue Evolution Mask |Evo Material |||Water ||1 Star |1|1|Shinnosuke Hino |
163|Green Evolution Mask |Evo Material |||Wood ||1 Star |1|1|Shinnosuke Hino |
164|Yellow Evolution Mask |Evo Material |||Light ||1 Star |1|1|Shinnosuke Hino |
165|Purple Evolution Mask |Evo Material |||Dark ||1 Star |1|1|Shinnosuke Hino |
166|Crimson Demon Mask |Evo Material |||Fire ||3 Stars |1|1|Shinnosuke Hino |
167|Indigo Demon Mask |Evo Material |||Water ||3 Stars |1|1|Shinnosuke Hino |
168|Azure Demon Mask |Evo Material |||Wood ||3 Stars |1|1|Shinnosuke Hino |
169|Golden Demon Mask |Evo Material |||Light ||3 Stars |1|1|Shinnosuke Hino |
170|Violet Demon Mask |Evo Material |||Dark ||3 Stars |1|1|Shinnosuke Hino |
171|Divine Carmine Mask |Evo Material |||Fire ||5 Stars |1|1|Shinnosuke Hino |
172|Divine Indigo Mask |Evo Material |||Water ||5 Stars |1|1|Shinnosuke Hino |
173|Divine Jade Mask |Evo Material |||Wood ||5 Stars |1|1|Shinnosuke Hino |
174|Divine Gold Mask |Evo Material |||Light ||5 Stars |1|1|Shinnosuke Hino |
175|Divine Onyx Mask |Evo Material |||Dark ||5 Stars |1|1|Shinnosuke Hino |
176|Metal Dragon |Enhance Material |||Dark ||3 Stars |1|1|Itou Youichi |
177|High Metal Dragon |Enhance Material |||Dark ||4 Stars |1|1|Itou Youichi |
178|King Metal Dragon |Enhance Material |||Dark ||5 Stars |1|1|Itou Youichi |
179|Gold Dragon |Enhance Material |||Light ||3 Stars |1|1|Itou Youichi |
180|High Gold Dragon |Enhance Material |||Light ||4 Stars |1|1|Itou Youichi |
181|King Gold Dragon |Enhance Material |||Light ||5 Stars |1|1|Itou Youichi |
182|Poring |Enhance Material |||Fire ||3 Stars |10|10||
183|Marin |Enhance Material |||Water ||3 Stars |10|1||
184|Poporing |Enhance Material |||Wood ||3 Stars |10|1||
185|Drops |Enhance Material |||Light ||3 Stars |10|1||
186|Ghostring |Enhance Material |||Dark ||3 Stars |10|1||
187|Zeus |God |||Light ||6 Stars |40|15|Itou Youichi |
188|Awoken Zeus |God |||Light ||7 Stars |50|15|Itou Youichi |
189|Hera |God |||Dark ||6 Stars |25|15|Itou Youichi |
190|Awoken Hera |Devil |God ||Dark ||7 Stars |30|15|Itou Youichi |
191|Pyro Devil |Attacker |||Fire ||2 Stars |5|1|Yosuke Adachi |
192|Pyro Demon |Attacker |||Fire ||3 Stars |8|1|Yosuke Adachi |
193|Frost Devil |Attacker |||Water ||2 Stars |5|1|Yosuke Adachi |
194|Frost Demon |Attacker |||Water ||3 Stars |8|1|Yosuke Adachi |
195|Taur Devil |Attacker |||Wood ||2 Stars |5|1|Yosuke Adachi |
196|Taur Demon |Attacker |||Wood ||3 Stars |8|1|Yosuke Adachi |
197|Harpie Devil |Attacker |||Light ||2 Stars |5|1|Yosuke Adachi |
198|Harpie Demon |Attacker |||Light ||3 Stars |8|1|Yosuke Adachi |
199|Blood Devil |Attacker |||Dark ||2 Stars |5|1|Yosuke Adachi |
200|Blood Demon |Attacker |||Dark ||3 Stars |8|1|Yosuke Adachi |
201|Empress of Serpents, Echidna |Healer |||Fire ||5 Stars |13|1|Shinnosuke Hino |EoSE 
202|Enchantress of the Sea, Siren |Healer |||Water ||5 Stars |13|1|Yosuke Adachi |
203|Mystical Forest Pixie, Alraune |Healer |||Wood ||5 Stars |13|1|Suzuki Kaori |
204|Messenger of God, Archangel |Healer |||Light ||5 Stars |13|1|Shinnosuke Hino |
205|Witch of the Night, Lilith |Healer |Devil ||Dark ||5 Stars |13|1|Yosuke Adachi |
206|Mars Light Carbuncle |Healer |||Fire ||4 Stars |8|1|Suzuki Kaori |
207|Mercury Light Carbuncle |Healer |||Water ||4 Stars |8|1|Suzuki Kaori |
208|Earth Light Carbuncle |Healer |||Wood ||4 Stars |8|1|Suzuki Kaori |
209|Sunlight Carbuncle |Healer |||Light ||4 Stars |8|1|Suzuki Kaori |
210|Moonlight Carbuncle |Healer |||Dark ||4 Stars |8|1|Suzuki Kaori |
211|Meteor Volcano Dragon |Dragon |||Fire ||5 Stars |15|1|Yosuke Adachi |MVD 
212|Crystal Aurora Dragon |Dragon |||Water ||5 Stars |15|1|Yosuke Adachi |CAD 
213|Graviton Earth Dragon |Dragon |||Wood ||5 Stars |15|1|Shinnosuke Hino |GED 
214|Lightning Holy Dragon |Dragon |||Light ||5 Stars |15|1|Shinnosuke Hino |LHD 
215|Chaos Devil Dragon |Dragon |Devil ||Dark ||5 Stars |15|1|Itou Youichi |CDD 
216|Red Skydragon, El Dorado |Dragon |||Fire ||6 Stars |25|10|Shinnosuke Hino |
217|Blue Skydragon, Nirai Kanai |Dragon |||Water ||6 Stars |25|10|Itou Youichi |
218|Wood Skydragon, Horai |Dragon |||Wood ||6 Stars |25|10|Itou Youichi |
219|Holy Skydragon, Shangri-La |Dragon |||Light ||6 Stars |25|10|Itou Youichi |
220|Night Skydragon, Elysion |Dragon |||Dark ||6 Stars |25|10|Shinnosuke Hino |
221|Berserk |Physical |||Water ||4 Stars |7|15|Itou Youichi |
222|Siegfried, the Blue Champion |Physical |||Water ||5 Stars |15|15|Itou Youichi |
223|Highlander |Balanced |||Wood ||4 Stars |7|15|Itou Youichi |
224|Cu Chulainn, the Green Lancer |Balanced |||Wood ||5 Stars |15|15|Itou Youichi |
225|Valkyrie |Healer |||Light ||4 Stars |6|15|Shinnosuke Hino |
226|Great Valkyrie |Healer |||Light ||5 Stars |15|15|Shinnosuke Hino |
227|Dragon Fruit |Evo Material |||Wood ||5 Stars |1|1||
228|Mastering |Physical |||Fire ||5 Stars |50|10||
229|Phoenix Knight Homura |Balanced |||Fire ||5 Stars |14|1|Itou Youichi |PKH 
230|Fenrir Knight Kamui |Balanced |||Water ||5 Stars |14|1|Itou Youichi |FKK 
231|Ancient Dragon Knight |Dragon |||Wood ||5 Stars |14|1|Yosuke Adachi |ADK 
232|Verche, the Knight of the Sky |God |Balanced ||Light ||5 Stars |14|1|Yosuke Adachi |
233|Chaos Dragon Knight |Dragon |||Dark ||5 Stars |14|1|Yosuke Adachi |CDK 
234|Mystic Mask |Evo Material |||Light ||5 Stars |1|1|Shinnosuke Hino |
235|UNPRINTABLE |Enhance Material |||Light ||5 Stars |1|1||
236|Shiva |God |||Fire ||5 Stars |20|5000|Shinnosuke Hino |
237|Shiva, the Destroyer |God |||Fire |Fire |6 Stars |25|5000|Shinnosuke Hino |
238|Lakshmi |God |||Water ||5 Stars |20|5000|Yosuke Adachi |
239|Fortune Deity Lakshmi |God |||Water |Water |6 Stars |25|5000|Yosuke Adachi |
240|Parvati |God |||Wood ||5 Stars |20|5000|Yosuke Adachi |
241|Parvati, the Golden Goddess |God |||Wood |Wood |6 Stars |25|5000|Yosuke Adachi |
242|Indra |God |||Light ||5 Stars |20|5000|Itou Youichi |
243|Thunderdragon Indra |God |||Light |Light |6 Stars |25|5000|Itou Youichi |
244|Vritra |God |||Dark ||5 Stars |20|5000|Itou Youichi |
245|Darkdragon Vritra |God |||Dark |Dark |6 Stars |25|5000|Itou Youichi |
246|Dub-rubylit |Evo Material |||Fire ||5 Stars |1|1|Suzuki Kaori |
247|Dub-sapphilit |Evo Material |||Water ||5 Stars |1|1|Suzuki Kaori |
248|Dub-emelit |Evo Material |||Wood ||5 Stars |1|1|Suzuki Kaori |
249|Dub-topalit |Evo Material |||Light ||5 Stars |1|1|Suzuki Kaori |
250|Dub-amelit |Evo Material |||Dark ||5 Stars |1|1|Suzuki Kaori |
251|Dub-mythlit |Evo Material |||Dark ||6 Stars |1|1|Suzuki Kaori |
252|Ruby Dragon |Enhance Material |||Fire ||3 Stars |1|1|Itou Youichi |
253|High Ruby Dragon |Enhance Material |||Fire ||4 Stars |1|1|Itou Youichi |
254|King Ruby Dragon |Enhance Material |||Fire ||5 Stars |1|1|Itou Youichi |
255|Sapphire Dragon |Enhance Material |||Water ||3 Stars |1|1|Itou Youichi |
256|High Sapphire Dragon |Enhance Material |||Water ||4 Stars |1|1|Itou Youichi |
257|King Sapphire Dragon |Enhance Material |||Water ||5 Stars |1|1|Itou Youichi |
258|Emerald Dragon |Enhance Material |||Wood ||3 Stars |1|1|Itou Youichi |
259|High Emerald Dragon |Enhance Material |||Wood ||4 Stars |1|1|Itou Youichi |
260|King Emerald Dragon |Enhance Material |||Wood ||5 Stars |1|1|Itou Youichi |
261|Super King Metal Dragon |Enhance Material |||Dark ||6 Stars |1|1|Itou Youichi |
262|Flame Chimera |Attacker |||Fire ||3 Stars |7|1|Suzuki Kaori |
263|Magma Chimera |Attacker |||Fire ||4 Stars |10|1|Suzuki Kaori |
264|Bubble Chimera |Attacker |||Water ||3 Stars |7|1|Suzuki Kaori |
265|Deep Chimera |Attacker |||Water ||4 Stars |10|1|Suzuki Kaori |
266|Leaf Chimera |Attacker |||Wood ||3 Stars |7|1|Suzuki Kaori |
267|Flower Chimera |Attacker |||Wood ||4 Stars |10|1|Suzuki Kaori |
268|Volt Chimera |Attacker |||Light ||3 Stars |7|1|Suzuki Kaori |
269|Thunder Chimera |Attacker |||Light ||4 Stars |10|1|Suzuki Kaori |
270|Mist Chimera |Attacker |||Dark ||3 Stars |7|1|Suzuki Kaori |
271|Fog Chimera |Attacker |||Dark ||4 Stars |10|1|Suzuki Kaori |
272|Baby Match |Attacker |||Fire ||2 Stars |5|1||
273|Baby Match Plus |Attacker |||Fire ||3 Stars |10|1||
274|Devil Mermaid |Healer |||Water ||2 Stars |5|1||
275|Devil Mermaid Plus |Healer |||Water ||3 Stars |10|1||
276|Buzz Cut Goblin |Physical |||Wood ||2 Stars |5|1||
277|Buzz Cut Goblin Plus |Physical |||Wood ||3 Stars |10|1||
278|Note Reaper |Balanced |||Dark ||2 Stars |5|1||
279|Note Reaper Plus |Balanced |||Dark ||3 Stars |10|1||
280|Don-chan |Healer |||Light ||3 Stars |5|1||
281|Brave Don-chan |Healer |||Light ||4 Stars |10|10||
282|Brave Don-chan Plus |Healer |||Light ||5 Stars |15|10||
283|Fire Mechdragon, Betelgeuse |Dragon |Machine ||Fire ||6 Stars |25|10|Itou Youichi |
284|Ice Mechdragon, Aldebaran |Dragon |Machine ||Water ||6 Stars |25|10|Yosuke Adachi |
285|Wind Mechdragon, Canopus |Dragon |Machine ||Wood ||6 Stars |25|10|Yosuke Adachi |
286|Noble Mechdragon, Regulus |Dragon |Machine ||Light ||6 Stars |25|10|Yosuke Adachi |
287|Annihilate Mechdragon, Hadar |Dragon |Machine ||Dark ||6 Stars |25|10|Itou Youichi |
288|Drall |Dragon |||Fire ||3 Stars |5|1|Ikeya |
289|Agdrall |Dragon |||Fire ||4 Stars |10|1|Ikeya |
290|Flare Drall |Dragon |||Fire ||5 Stars |15|1|Ikeya |
291|Shardra |Dragon |||Water ||3 Stars |5|1|Ikeya |
292|Shardran |Dragon |||Water ||4 Stars |10|1|Ikeya |
293|Megalodran |Dragon |||Water ||5 Stars |15|1|Ikeya |
294|Toytops |Dragon |||Wood ||3 Stars |5|1|Ikeya |
295|Toyceratops |Dragon |||Wood ||4 Stars |10|1|Ikeya |
296|Fortoytops |Dragon |||Wood ||5 Stars |15|1|Ikeya |
297|Fairlio |Dragon |||Light ||3 Stars |5|1|Ikeya |
298|Fairlion |Dragon |||Light ||4 Stars |10|1|Ikeya |
299|Angelion |Dragon |||Light ||5 Stars |15|1|Ikeya |
300|Pierdra |Dragon |||Dark ||3 Stars |5|1|Ikeya |
301|Pierdrawn |Dragon |||Dark ||4 Stars |10|1|Ikeya |
302|Drawn Joker |Dragon |Devil ||Dark ||5 Stars |15|1|Ikeya |
303|Fire Pengdra |Enhance Material |||Fire ||2 Stars |4|1|Suzuki Kaori |
304|Ruby Pengdra |Enhance Material |||Fire ||3 Stars |5|1|Suzuki Kaori |
305|Water Pengdra |Enhance Material |||Water ||2 Stars |4|1|Suzuki Kaori |
306|Sapphire Pengdra |Enhance Material |||Water ||3 Stars |5|1|Suzuki Kaori |
307|Wood Pengdra |Enhance Material |||Wood ||2 Stars |4|1|Suzuki Kaori |
308|Emerald Pengdra |Enhance Material |||Wood ||3 Stars |5|1|Suzuki Kaori |
309|Super King Gold Dragon |Enhance Material |||Light ||6 Stars |1|1|Itou Youichi |
310|Ice Samurai Ogre |Physical |Devil ||Fire |Water |4 Stars |11|1|Shinnosuke Hino |
311|Wood Samurai Ogre |Physical |Devil ||Fire |Wood |4 Stars |11|1|Shinnosuke Hino |
312|Blazing Ice Ogre |Physical |Devil ||Water |Fire |4 Stars |11|1|Shinnosuke Hino |
313|Wood Ice Ogre |Physical |Devil ||Water |Wood |4 Stars |11|1|Shinnosuke Hino |
314|Flame Armor Ogre |Physical |Devil ||Wood |Fire |4 Stars |11|1|Shinnosuke Hino |
315|Ice Armor Ogre |Physical |Devil ||Wood |Water |4 Stars |11|1|Shinnosuke Hino |
316|Flame Mech Warrior, Jotunn |Physical |Machine ||Fire ||5 Stars |17|1|Shinnosuke Hino |
317|Water Mech Warrior, Midgard |Physical |Machine ||Water ||5 Stars |17|1|Shinnosuke Hino |
318|Wood Mech Warrior, Asgard |Physical |Machine ||Wood ||5 Stars |17|1|Shinnosuke Hino |
319|Machine Golem Mk.III |Physical |Machine ||Light ||5 Stars |18|1|Yosuke Adachi |MK3 
320|Dark Golem Mk.III |Physical |Machine ||Dark ||5 Stars |18|1|Yosuke Adachi |MK3 
321|Keeper of Rainbow |Evo Material |||Dark ||6 Stars |25|1|Sekiyama Konomu |
322|Blue Flame Ifrit |Dragon |Attacker ||Fire |Water |6 Stars |20|3000|Itou Youichi |
323|Green Flame Ifrit |Dragon |Balanced ||Fire |Wood |6 Stars |20|3000|Itou Youichi |
324|Shining Flame Ifrit |Dragon |Healer ||Fire |Light |6 Stars |20|3000|Itou Youichi |
325|Dark Flame Ifrit |Dragon |Devil ||Fire |Dark |6 Stars |20|3000|Itou Youichi |
326|Red Ice Leviathan |Dragon |Attacker ||Water |Fire |6 Stars |20|3000|Shinnosuke Hino |
327|Green Ice Leviathan |Dragon |Balanced ||Water |Wood |6 Stars |20|3000|Shinnosuke Hino |
328|Shining Ice Leviathan |Dragon |Physical ||Water |Light |6 Stars |20|3000|Shinnosuke Hino |
329|Dark Ice Leviathan |Dragon |Devil ||Water |Dark |6 Stars |20|3000|Shinnosuke Hino |
