Generated 10-29-2016: 7:30PM (Run time: 4H:30M)

1 |Total Attributes:  8 |Tyrra ||Dragon |Fire |2 Stars |2 |1 |Shinnosuke Hino |
69 |Total Attributes:  8 |Flame Knight ||Balanced |Fire |3 Stars |6 |1 |Itou Youichi |
70 |Total Attributes:  8 |Aqua Fighter ||Balanced |Water |2 Stars |3 |1 |Itou Youichi |
71 |Total Attributes:  8 |Aqua Knight ||Balanced |Water |3 Stars |6 |1 |Itou Youichi |
72 |Total Attributes:  8 |Earth Fighter ||Balanced |Wood |2 Stars |3 |1 |Itou Youichi |
73 |Total Attributes:  8 |Earth Knight ||Balanced |Wood |3 Stars |6 |1 |Itou Youichi |
74 |Total Attributes:  8 |White Fighter ||Balanced |Light |2 Stars |3 |1 |Itou Youichi |
75 |Total Attributes:  8 |White Knight ||Balanced |Light |3 Stars |6 |1 |Itou Youichi |
76 |Total Attributes:  8 |Black Fighter ||Balanced |Dark |2 Stars |3 |1 |Itou Youichi |
77 |Total Attributes:  8 |Black Knight ||Balanced |Dark |3 Stars |6 |1 |Itou Youichi |
78 |Total Attributes:  8 |Flame Golem ||Physical | /  |Machine |Fire |3 Stars |6 |1 |Sekiyama Konomu |
79 |Total Attributes:  8 |Flame Guardian ||Physical | /  |Machine |Fire |4 Stars |9 |1 |Sekiyama Konomu |
80 |Total Attributes:  8 |Ice Golem ||Physical | /  |Machine |Water |3 Stars |6 |1 |Sekiyama Konomu |
81 |Total Attributes:  8 |Ice Guardian ||Physical | /  |Machine |Water |4 Stars |9 |1 |Sekiyama Konomu |
82 |Total Attributes:  8 |Earth Golem ||Physical | /  |Machine |Wood |3 Stars |6 |1 |Sekiyama Konomu |
83 |Total Attributes:  8 |Earth Guardian ||Physical | /  |Machine |Wood |4 Stars |9 |1 |Sekiyama Konomu |
84 |Total Attributes:  8 |Machine Golem ||Physical | /  |Machine |Light |3 Stars |6 |1 |Yosuke Adachi |
85 |Total Attributes:  8 |Machine Golem Mk.II ||Physical | /  |Machine |Light |4 Stars |9 |1 |Yosuke Adachi |
86 |Total Attributes:  8 |Dark Golem ||Physical | /  |Machine |Dark |3 Stars |6 |1 |Yosuke Adachi |
87 |Total Attributes:  8 |Dark Golem Mk.II ||Physical | /  |Machine |Dark |4 Stars |9 |1 |Yosuke Adachi |
88 |Total Attributes:  8 |Naga ||Healer |Fire |3 Stars |5 |1 |Shinnosuke Hino |
89 |Total Attributes:  8 |Echidna ||Healer |Fire |4 Stars |8 |1 |Shinnosuke Hino |
90 |Total Attributes:  8 |Mermaid ||Healer |Water |3 Stars |5 |1 |Yosuke Adachi |
91 |Total Attributes:  8 |Siren ||Healer |Water |4 Stars |8 |1 |Yosuke Adachi |
92 |Total Attributes:  8 |Dryad ||Healer |Wood |3 Stars |5 |1 |Suzuki Kaori |
93 |Total Attributes:  9 |Mandrake ||Healer |Wood |4 Stars |8 |1 |Suzuki Kaori |LHD, THD |
94 |Total Attributes:  8 |Cupid ||Healer |Light |3 Stars |5 |1 |Sekiyama Konomu |
95 |Total Attributes:  8 |Angel ||Healer |Light |4 Stars |8 |1 |Sekiyama Konomu |
96 |Total Attributes:  8 |Succubus ||Healer |Dark |3 Stars |5 |1 |Yosuke Adachi |
97 |Total Attributes:  8 |Lilith ||Healer |Dark |4 Stars |8 |1 |Yosuke Adachi |
98 |Total Attributes:  8 |Mystic Flame Knight ||Balanced |Fire |3 Stars |6 |1 |Yosuke Adachi |
99 |Total Attributes:  8 |Phoenix Knight ||Balanced |Fire |4 Stars |9 |1 |Itou Youichi |
100 |Total Attributes:  8 |Mystic Ice Knight ||Balanced |Water |3 Stars |6 |1 |Yosuke Adachi |
101 |Total Attributes:  8 |Fenrir Knight ||Balanced |Water |4 Stars |9 |1 |Itou Youichi |
102 |Total Attributes:  8 |Mystic Stone Knight ||Balanced |Wood |3 Stars |6 |1 |Yosuke Adachi |
103 |Total Attributes:  8 |Dragon Knight ||Balanced |Wood |4 Stars |9 |1 |Yosuke Adachi |
104 |Total Attributes:  8 |Mystic Light Knight ||Balanced |Light |3 Stars |6 |1 |Yosuke Adachi |
105 |Total Attributes:  8 |Verche ||Balanced |Light |4 Stars |9 |1 |Sekiyama Konomu |
106 |Total Attributes:  8 |Titan ||Physical |Fire |3 Stars |7 |1 |Shinnosuke Hino |
107 |Total Attributes:  8 |Gigas ||Physical |Fire |4 Stars |10 |1 |Shinnosuke Hino |
108 |Total Attributes:  8 |Mystic Dark Knight ||Balanced |Dark |3 Stars |6 |1 |Yosuke Adachi |
109 |Total Attributes:  8 |Dark Dragon Knight ||Balanced |Dark |4 Stars |9 |1 |Yosuke Adachi |
110 |Total Attributes:  8 |Vampire ||Balanced |Dark |3 Stars |6 |1 |Shinnosuke Hino |
111 |Total Attributes:  8 |Vampire Lord ||Balanced |Dark |4 Stars |10 |1 |Shinnosuke Hino |
112 |Total Attributes:  8 |Salamander ||Dragon |Fire |4 Stars |7 |3000 |Itou Youichi |
113 |Total Attributes:  8 |Ifrit ||Dragon |Fire |5 Stars |13 |3000 |Itou Youichi |
114 |Total Attributes:  8 |Sea Serpent ||Dragon |Water |4 Stars |7 |3000 |Sekiyama Konomu |
115 |Total Attributes:  8 |Leviathan ||Dragon |Water |5 Stars |13 |3000 |Sekiyama Konomu |
116 |Total Attributes:  8 |Dragonette ||Dragon |Wood |4 Stars |7 |3000 |Shinnosuke Hino |
117 |Total Attributes:  8 |Fafnir ||Dragon |Wood |5 Stars |13 |3000 |Shinnosuke Hino |
118 |Total Attributes:  8 |Ivory Dragon ||Dragon |Light |4 Stars |7 |3000 |Itou Youichi |
119 |Total Attributes:  8 |Divinegon ||Dragon | /  |God |Light |5 Stars |13 |3000 |Itou Youichi |
120 |Total Attributes:  8 |Basilisk ||Dragon |Dark |4 Stars |7 |3000 |Itou Youichi |
121 |Total Attributes:  8 |Tiamat ||Dragon |Dark |5 Stars |13 |3000 |Itou Youichi |
122 |Total Attributes:  8 |Minerva ||God |Fire |5 Stars |15 |5000 |Shinnosuke Hino |
123 |Total Attributes:  8 |War Deity Minerva ||God |Fire | /  |Fire |6 Stars |20 |5000 |Shinnosuke Hino |
124 |Total Attributes:  8 |Neptune ||God |Water |5 Stars |15 |5000 |Murase Rintaro |
125 |Total Attributes:  8 |Sea Deity Neptune ||God |Water | /  |Water |6 Stars |20 |5000 |Murase Rintaro |
126 |Total Attributes:  8 |Ceres ||God |Wood |5 Stars |15 |5000 |Sekiyama Konomu |
127 |Total Attributes:  8 |Fertility Deity Ceres ||God |Wood | /  |Wood |6 Stars |20 |5000 |Sekiyama Konomu |
128 |Total Attributes:  8 |Venus ||God |Light |5 Stars |15 |5000 |Yosuke Adachi |
129 |Total Attributes:  8 |Love Deity Venus ||God |Light | /  |Light |6 Stars |20 |5000 |Yosuke Adachi |
130 |Total Attributes:  8 |Hades ||God |Dark |5 Stars |15 |5000 |Itou Youichi |
131 |Total Attributes:  8 |Underlord Hades ||God |Dark | /  |Dark |6 Stars |20 |5000 |Itou Youichi |
132 |Total Attributes:  8 |Kagutsuchi ||God |Fire |5 Stars |15 |5000 |Murase Rintaro |
133 |Total Attributes:  8 |Hino Kagutsuchi ||God |Fire | /  |Fire |6 Stars |20 |5000 |Murase Rintaro |
134 |Total Attributes:  8 |Viper Orochi ||God |Water |5 Stars |15 |5000 |Itou Youichi |
135 |Total Attributes:  8 |Demon Viper Orochi ||God |Water | /  |Water |6 Stars |20 |5000 |Itou Youichi |
136 |Total Attributes:  8 |Susano ||God |Wood |5 Stars |15 |5000 |Itou Youichi |
137 |Total Attributes:  8 |Susano no Mikoto ||God |Wood | /  |Wood |6 Stars |20 |5000 |Itou Youichi |
138 |Total Attributes:  8 |Amaterasu ||God |Light |5 Stars |15 |5000 |Yosuke Adachi |
139 |Total Attributes:  8 |Amaterasu Ohkami ||God |Light | /  |Light |6 Stars |20 |5000 |Yosuke Adachi |
140 |Total Attributes:  8 |Yomi ||God |Dark |5 Stars |15 |5000 |Yosuke Adachi |
141 |Total Attributes:  8 |Tsuku Yomi ||God |Dark | /  |Dark |6 Stars |20 |5000 |Yosuke Adachi |
142 |Total Attributes:  8 |Flamedragon Muspelheim ||Dragon |Fire |6 Stars |25 |10 |Shinnosuke Hino |
143 |Total Attributes:  8 |Ice Dragon Niflheim ||Dragon |Water |6 Stars |25 |10 |Yosuke Adachi |
144 |Total Attributes:  8 |Isle Dragon Yggdrasil ||Dragon |Wood |6 Stars |25 |10 |Murase Rintaro |
145 |Total Attributes:  8 |Mechadragon Valhalla ||Dragon | /  |Machine |Light |6 Stars |25 |10 |Sekiyama Konomu |
146 |Total Attributes:  8 |Evil Dragon Helheim ||Dragon |Dark |6 Stars |25 |10 |Itou Youichi |
147 |Total Attributes:  8 |Keeper of Flame ||Evo Material |Fire |4 Stars |11 |1 |Sekiyama Konomu |
148 |Total Attributes:  8 |Keeper of Water ||Evo Material |Water |4 Stars |11 |1 |Sekiyama Konomu |
149 |Total Attributes:  8 |Keeper of Forest ||Evo Material |Wood |4 Stars |11 |1 |Sekiyama Konomu |
150 |Total Attributes:  8 |Keeper of Light ||Evo Material |Light |4 Stars |11 |1 |Sekiyama Konomu |
151 |Total Attributes:  8 |Keeper of Dark ||Evo Material |Dark |4 Stars |11 |1 |Sekiyama Konomu |
152 |Total Attributes:  8 |Dragon Seed ||Evo Material |Wood |2 Stars |1 |1 |Itou Youichi |
153 |Total Attributes:  8 |Dragon Plant ||Evo Material |Wood |3 Stars |1 |1 |Itou Youichi |
154 |Total Attributes:  8 |Dragon Flower ||Evo Material |Wood |4 Stars |1 |1 |Itou Youichi |
155 |Total Attributes:  8 |Rubylit ||Evo Material |Fire |2 Stars |1 |1 |Suzuki Kaori |
156 |Total Attributes:  8 |Sapphilit ||Evo Material |Water |2 Stars |1 |1 |Suzuki Kaori |
157 |Total Attributes:  8 |Emelit ||Evo Material |Wood |2 Stars |1 |1 |Suzuki Kaori |
158 |Total Attributes:  8 |Topalit ||Evo Material |Light |2 Stars |1 |1 |Suzuki Kaori |
159 |Total Attributes:  8 |Amelit ||Evo Material |Dark |2 Stars |1 |1 |Suzuki Kaori |
160 |Total Attributes:  8 |Mythlit ||Evo Material |Dark |5 Stars |1 |1 |Suzuki Kaori |
161 |Total Attributes:  8 |Red Evolution Mask ||Evo Material |Fire |1 Star |1 |1 |Shinnosuke Hino |
162 |Total Attributes:  8 |Blue Evolution Mask ||Evo Material |Water |1 Star |1 |1 |Shinnosuke Hino |
163 |Total Attributes:  8 |Green Evolution Mask ||Evo Material |Wood |1 Star |1 |1 |Shinnosuke Hino |
164 |Total Attributes:  8 |Yellow Evolution Mask ||Evo Material |Light |1 Star |1 |1 |Shinnosuke Hino |
165 |Total Attributes:  8 |Purple Evolution Mask ||Evo Material |Dark |1 Star |1 |1 |Shinnosuke Hino |
166 |Total Attributes:  8 |Crimson Demon Mask ||Evo Material |Fire |3 Stars |1 |1 |Shinnosuke Hino |
167 |Total Attributes:  8 |Indigo Demon Mask ||Evo Material |Water |3 Stars |1 |1 |Shinnosuke Hino |
168 |Total Attributes:  8 |Azure Demon Mask ||Evo Material |Wood |3 Stars |1 |1 |Shinnosuke Hino |
169 |Total Attributes:  8 |Golden Demon Mask ||Evo Material |Light |3 Stars |1 |1 |Shinnosuke Hino |
170 |Total Attributes:  8 |Violet Demon Mask ||Evo Material |Dark |3 Stars |1 |1 |Shinnosuke Hino |
171 |Total Attributes:  8 |Divine Carmine Mask ||Evo Material |Fire |5 Stars |1 |1 |Shinnosuke Hino |
172 |Total Attributes:  8 |Divine Indigo Mask ||Evo Material |Water |5 Stars |1 |1 |Shinnosuke Hino |
173 |Total Attributes:  8 |Divine Jade Mask ||Evo Material |Wood |5 Stars |1 |1 |Shinnosuke Hino |
174 |Total Attributes:  8 |Divine Gold Mask ||Evo Material |Light |5 Stars |1 |1 |Shinnosuke Hino |
175 |Total Attributes:  8 |Divine Onyx Mask ||Evo Material |Dark |5 Stars |1 |1 |Shinnosuke Hino |
176 |Total Attributes:  8 |Metal Dragon ||Enhance Material |Dark |3 Stars |1 |1 |Itou Youichi |
177 |Total Attributes:  8 |High Metal Dragon ||Enhance Material |Dark |4 Stars |1 |1 |Itou Youichi |
178 |Total Attributes:  8 |King Metal Dragon ||Enhance Material |Dark |5 Stars |1 |1 |Itou Youichi |
179 |Total Attributes:  8 |Gold Dragon ||Enhance Material |Light |3 Stars |1 |1 |Itou Youichi |
180 |Total Attributes:  8 |High Gold Dragon ||Enhance Material |Light |4 Stars |1 |1 |Itou Youichi |
181 |Total Attributes:  8 |King Gold Dragon ||Enhance Material |Light |5 Stars |1 |1 |Itou Youichi |
182 |Total Attributes:  7 |Poring ||Enhance Material |Fire |3 Stars |10 |10 |
183 |Total Attributes:  7 |Marin ||Enhance Material |Water |3 Stars |10 |1 |
184 |Total Attributes:  7 |Poporing ||Enhance Material |Wood |3 Stars |10 |1 |
185 |Total Attributes:  7 |Drops ||Enhance Material |Light |3 Stars |10 |1 |
186 |Total Attributes:  7 |Ghostring ||Enhance Material |Dark |3 Stars |10 |1 |
187 |Total Attributes:  8 |Zeus ||God |Light |6 Stars |40 |15 |Itou Youichi |
188 |Total Attributes:  8 |Awoken Zeus ||God |Light |7 Stars |50 |15 |Itou Youichi |
189 |Total Attributes:  8 |Hera ||God |Dark |6 Stars |25 |15 |Itou Youichi |
190 |Total Attributes:  8 |Awoken Hera ||Devil | /  |God |Dark |7 Stars |30 |15 |Itou Youichi |
191 |Total Attributes:  8 |Pyro Devil ||Attacker |Fire |2 Stars |5 |1 |Yosuke Adachi |
192 |Total Attributes:  8 |Pyro Demon ||Attacker |Fire |3 Stars |8 |1 |Yosuke Adachi |
193 |Total Attributes:  8 |Frost Devil ||Attacker |Water |2 Stars |5 |1 |Yosuke Adachi |
194 |Total Attributes:  8 |Frost Demon ||Attacker |Water |3 Stars |8 |1 |Yosuke Adachi |
195 |Total Attributes:  8 |Taur Devil ||Attacker |Wood |2 Stars |5 |1 |Yosuke Adachi |
196 |Total Attributes:  8 |Taur Demon ||Attacker |Wood |3 Stars |8 |1 |Yosuke Adachi |
197 |Total Attributes:  8 |Harpie Devil ||Attacker |Light |2 Stars |5 |1 |Yosuke Adachi |
198 |Total Attributes:  8 |Harpie Demon ||Attacker |Light |3 Stars |8 |1 |Yosuke Adachi |
199 |Total Attributes:  8 |Blood Devil ||Attacker |Dark |2 Stars |5 |1 |Yosuke Adachi |
200 |Total Attributes:  8 |Blood Demon ||Attacker |Dark |3 Stars |8 |1 |Yosuke Adachi |
201 |Total Attributes:  9 |Empress of Serpents, Echidna ||Healer |Fire |5 Stars |13 |1 |Shinnosuke Hino |EoSE |
202 |Total Attributes:  8 |Enchantress of the Sea, Siren ||Healer |Water |5 Stars |13 |1 |Yosuke Adachi |
203 |Total Attributes:  8 |Mystical Forest Pixie, Alraune ||Healer |Wood |5 Stars |13 |1 |Suzuki Kaori |
204 |Total Attributes:  8 |Messenger of God, Archangel ||Healer |Light |5 Stars |13 |1 |Shinnosuke Hino |
205 |Total Attributes:  8 |Witch of the Night, Lilith ||Healer | /  |Devil |Dark |5 Stars |13 |1 |Yosuke Adachi |
206 |Total Attributes:  8 |Mars Light Carbuncle ||Healer |Fire |4 Stars |8 |1 |Suzuki Kaori |
207 |Total Attributes:  8 |Mercury Light Carbuncle ||Healer |Water |4 Stars |8 |1 |Suzuki Kaori |
208 |Total Attributes:  8 |Earth Light Carbuncle ||Healer |Wood |4 Stars |8 |1 |Suzuki Kaori |
209 |Total Attributes:  8 |Sunlight Carbuncle ||Healer |Light |4 Stars |8 |1 |Suzuki Kaori |
210 |Total Attributes:  8 |Moonlight Carbuncle ||Healer |Dark |4 Stars |8 |1 |Suzuki Kaori |
211 |Total Attributes:  9 |Meteor Volcano Dragon ||Dragon |Fire |5 Stars |15 |1 |Yosuke Adachi |MVD |
212 |Total Attributes:  9 |Crystal Aurora Dragon ||Dragon |Water |5 Stars |15 |1 |Yosuke Adachi |CAD |
213 |Total Attributes:  9 |Graviton Earth Dragon ||Dragon |Wood |5 Stars |15 |1 |Shinnosuke Hino |GED |
214 |Total Attributes:  9 |Lightning Holy Dragon ||Dragon |Light |5 Stars |15 |1 |Shinnosuke Hino |LHD |
215 |Total Attributes:  9 |Chaos Devil Dragon ||Dragon | /  |Devil |Dark |5 Stars |15 |1 |Itou Youichi |CDD |
216 |Total Attributes:  8 |Red Skydragon, El Dorado ||Dragon |Fire |6 Stars |25 |10 |Shinnosuke Hino |
217 |Total Attributes:  8 |Blue Skydragon, Nirai Kanai ||Dragon |Water |6 Stars |25 |10 |Itou Youichi |
218 |Total Attributes:  8 |Wood Skydragon, Horai ||Dragon |Wood |6 Stars |25 |10 |Itou Youichi |
219 |Total Attributes:  8 |Holy Skydragon, Shangri-La ||Dragon |Light |6 Stars |25 |10 |Itou Youichi |
220 |Total Attributes:  8 |Night Skydragon, Elysion ||Dragon |Dark |6 Stars |25 |10 |Shinnosuke Hino |
221 |Total Attributes:  8 |Berserk ||Physical |Water |4 Stars |7 |15 |Itou Youichi |
222 |Total Attributes:  8 |Siegfried, the Blue Champion ||Physical |Water |5 Stars |15 |15 |Itou Youichi |
223 |Total Attributes:  8 |Highlander ||Balanced |Wood |4 Stars |7 |15 |Itou Youichi |
224 |Total Attributes:  8 |Cu Chulainn, the Green Lancer ||Balanced |Wood |5 Stars |15 |15 |Itou Youichi |
225 |Total Attributes:  8 |Valkyrie ||Healer |Light |4 Stars |6 |15 |Shinnosuke Hino |
226 |Total Attributes:  8 |Great Valkyrie ||Healer |Light |5 Stars |15 |15 |Shinnosuke Hino |
227 |Total Attributes:  7 |Dragon Fruit ||Evo Material |Wood |5 Stars |1 |1 |
228 |Total Attributes:  7 |Mastering ||Physical |Fire |5 Stars |50 |10 |
229 |Total Attributes:  9 |Phoenix Knight Homura ||Balanced |Fire |5 Stars |14 |1 |Itou Youichi |PKH |
230 |Total Attributes:  9 |Fenrir Knight Kamui ||Balanced |Water |5 Stars |14 |1 |Itou Youichi |FKK |
231 |Total Attributes:  9 |Ancient Dragon Knight ||Dragon |Wood |5 Stars |14 |1 |Yosuke Adachi |ADK |
232 |Total Attributes:  8 |Verche, the Knight of the Sky ||God | /  |Balanced |Light |5 Stars |14 |1 |Yosuke Adachi |
233 |Total Attributes:  9 |Chaos Dragon Knight ||Dragon |Dark |5 Stars |14 |1 |Yosuke Adachi |CDK |
234 |Total Attributes:  8 |Mystic Mask ||Evo Material |Light |5 Stars |1 |1 |Shinnosuke Hino |
235 |Total Attributes:  7 |UNPRINTABLE ||Enhance Material |Light |5 Stars |1 |1 |
236 |Total Attributes:  8 |Shiva ||God |Fire |5 Stars |20 |5000 |Shinnosuke Hino |
237 |Total Attributes:  8 |Shiva, the Destroyer ||God |Fire | /  |Fire |6 Stars |25 |5000 |Shinnosuke Hino |
238 |Total Attributes:  8 |Lakshmi ||God |Water |5 Stars |20 |5000 |Yosuke Adachi |
239 |Total Attributes:  8 |Fortune Deity Lakshmi ||God |Water | /  |Water |6 Stars |25 |5000 |Yosuke Adachi |
240 |Total Attributes:  8 |Parvati ||God |Wood |5 Stars |20 |5000 |Yosuke Adachi |
241 |Total Attributes:  8 |Parvati, the Golden Goddess ||God |Wood | /  |Wood |6 Stars |25 |5000 |Yosuke Adachi |
242 |Total Attributes:  8 |Indra ||God |Light |5 Stars |20 |5000 |Itou Youichi |
243 |Total Attributes:  8 |Thunderdragon Indra ||God |Light | /  |Light |6 Stars |25 |5000 |Itou Youichi |
244 |Total Attributes:  8 |Vritra ||God |Dark |5 Stars |20 |5000 |Itou Youichi |
245 |Total Attributes:  8 |Darkdragon Vritra ||God |Dark | /  |Dark |6 Stars |25 |5000 |Itou Youichi |
246 |Total Attributes:  8 |Dub-rubylit ||Evo Material |Fire |5 Stars |1 |1 |Suzuki Kaori |
247 |Total Attributes:  8 |Dub-sapphilit ||Evo Material |Water |5 Stars |1 |1 |Suzuki Kaori |
248 |Total Attributes:  8 |Dub-emelit ||Evo Material |Wood |5 Stars |1 |1 |Suzuki Kaori |
249 |Total Attributes:  8 |Dub-topalit ||Evo Material |Light |5 Stars |1 |1 |Suzuki Kaori |
250 |Total Attributes:  8 |Dub-amelit ||Evo Material |Dark |5 Stars |1 |1 |Suzuki Kaori |
251 |Total Attributes:  8 |Dub-mythlit ||Evo Material |Dark |6 Stars |1 |1 |Suzuki Kaori |
